,Epoch,train_loss,train_acc,test_acc
0,0.0,0.34720468521118164,0.875,0.59772
1,1.0,0.2489854395389557,0.875,0.61594
2,2.0,0.28769612312316895,0.8125,0.61838
3,3.0,0.2169763445854187,0.9375,0.62262
4,4.0,0.21267437934875488,0.875,0.62362
5,5.0,0.19220289587974548,1.0,0.62338
6,6.0,0.18863129615783691,0.9375,0.61968
7,7.0,0.15405286848545074,1.0,0.6204
8,8.0,0.13773857057094574,0.9375,0.61772
9,9.0,0.12920498847961426,1.0,0.61612
10,10.0,0.11941123753786087,1.0,0.61206
11,11.0,0.12010625749826431,1.0,0.60804
